ticker,name,period,total_assets,total_equity,stockholders_equity,retained_earnings,short_term_debt,long_term_debt,bps,equity_ratio,revenue,operating_income,ordinary_income,net_income,basic_eps,roe,roa,operating_cf,investing_cf,financing_cf,capex,cash_equivalents,operating_cf_margin,dps,dividend_payment,buyback,payout_ratio,total_return_ratio,doe,price,shares_outstanding,market_cap,per,pbr,dividend_yield,total_liabilities,interest_bearing_debt,net_cash,net_cash_ratio
1301,,2025-03,182125000000.0,68355000000.0,57902000000.0,47725000000.0,28770000000.0,35604000000.0,5600.12,36.5,302681000000.0,11079000000.0,10857000000.0,6740000000.0,567.46,10.13,3.7,5843000000.0,-9036000000.0,2149000000.0,-8124000000.0,7514000000.0,1.93,130.0,1191000000.0,173000000.0,22.9,25.5,2.5,5020.0,10339421,51903893420.0,8.846438515490078,0.7593284093336259,2.589641434262948,113770000000.0,64374000000.0,-106256000000.0,-2.0471681987358705
130A,,2025-12,1884000000.0,1783000000.0,1783876000.0,-629065000.0,,,274.99,94.6,91140000.0,-396000000.0,-390000000.0,-425000000.0,-65.51,-23.824525919963047,-22.558386411889597,-299000000.0,451000000.0,,-31242000.0,325213000.0,-328.07,,,,,,,,6487057,,,,,101000000.0,,224213000.0,
1332,,2025-03,634878000000.0,285939000000.0,223806000000.0,171996000000.0,114104000000.0,95832000000.0,891.31,43.6,886126000000.0,31779000000.0,35301000000.0,25381000000.0,81.66,9.16,4.0,40379000000.0,-30393000000.0,-11452000000.0,-34051000000.0,18686000000.0,4.56,28.0,8101000000.0,4000000.0,34.3,34.3,3.3,,251097822,,,,,348939000000.0,209936000000.0,-330253000000.0,
1333,,2025-03,681211000000.0,275396000000.0,197090000000.0,141324000000.0,133069000000.0,99842000000.0,1519.23,33.7,1078631000000.0,30381000000.0,32254000000.0,23264000000.0,153.96,10.13,3.42,39179000000.0,-1886000000.0,-29352000000.0,-22043000000.0,48422000000.0,3.63,36.67,5053000000.0,6000000.0,23.8,23.8,2.5,,129730192,,,,,405815000000.0,232911000000.0,-357393000000.0,
1352,,2022-03,41116000000.0,8842000000.0,7804000000.0,4100000000.0,2300000000.0,17138000000.0,936.39,19.1,31065000000.0,1521000000.0,1487000000.0,1024000000.0,122.29,13.06,2.49,1871000000.0,-1160000000.0,-1818000000.0,-311000000.0,2901000000.0,6.02,,,,,,,,8334134,,,,,32274000000.0,19438000000.0,-29373000000.0,
135A,,2025-02,1873000000.0,1422000000.0,1422000000.0,834000000.0,,,140.65,75.9,2144000000.0,594987000.0,595000000.0,425000000.0,42.04,29.89,22.69,-161000000.0,-242000000.0,-69000000.0,-62474000.0,488000000.0,-7.51,,,,,,,,10110202,,,,,451000000.0,,37000000.0,
1375,,2025-03,37868000000.0,12525000000.0,12366000000.0,18334000000.0,,15435000000.0,309.89,32.7,53139000000.0,2419000000.0,,1502000000.0,37.65,12.15,3.97,5519000000.0,-2252000000.0,-2159000000.0,-2062000000.0,3903000000.0,10.39,15.0,520000000.0,,39.8,39.8,5.0,1062.0,39904482,42378559884.0,28.207171314741036,3.383517755209581,1.4124293785310735,25343000000.0,15435000000.0,-21440000000.0,-0.5059162005194674
1376,,2025-05,49320424000.0,25013918000.0,23713139000.0,21367459000.0,,,2244.86,50.7,64508666000.0,1511650000.0,1666404000.0,1200256000.0,107.01,4.8,2.43,212910000.0,-1234925000.0,-629070000.0,-1211000000.0,1608082000.0,0.33,38.0,374537000.0,286626000.0,35.5,59.4,1.7,1508.0,10563304,15929462432.0,14.092140921409213,0.6368239646424043,2.519893899204244,24306506000.0,,-22698424000.0,-1.4249334587965836
1377,,2025-05,190986000000.0,161768000000.0,143534000000.0,126607000000.0,2281000000.0,587000000.0,3729.64,84.5,92920000000.0,12257000000.0,12311000000.0,9711000000.0,222.57,6.02,5.08,5100000000.0,4066000000.0,-6669000000.0,-8496000000.0,22445000000.0,5.49,75.0,3073000000.0,2154000000.0,33.7,55.9,2.0,4315.0,38484679,166061389885.0,19.387159096014738,1.0265404151933633,1.738122827346466,29218000000.0,2868000000.0,-6773000000.0,-0.040786121353617505
1379,,2025-03,107620000000.0,56808000000.0,54420000000.0,47044000000.0,7097000000.0,12672000000.0,1817.33,52.8,83104000000.0,6628000000.0,6953000000.0,4441000000.0,140.62,7.82,4.13,12222000000.0,-9012000000.0,-1721000000.0,-1640000000.0,15069000000.0,14.71,50.0,1590000000.0,880000000.0,35.6,55.4,2.8,,29945029,,,,,50812000000.0,19769000000.0,-35743000000.0,
